e, e_dot, e_int, stamp, 
0.7707083338881885, -5.380170568769368e-13, 0.08434996242831196, 1761314094370188805, 
0.7707083338882464, 3.840651125501382e-13, 0.08844484832967624, 1761314094420487257, 
0.7708817601673484, 0.0012859382739929175, 0.0734177789072155, 1761314094465441794, 
0.7701048254041503, -0.0045159302417270035, 0.0690361334374571, 1761314094510078837, 
0.7686326152010546, -0.015495346708444177, 0.07334003072824592, 1761314094560704291, 
0.7680884890809411, -0.013321020339835003, 0.07737476793694872, 1761314094610703813, 
0.7664783234676966, -0.014356446886760021, 0.07679274251322929, 1761314094660729597, 
0.7615932091232447, -0.04265197107823885, 0.07733086326197974, 1761314094711738840, 
0.7584952399576232, -0.059066847674746355, 0.0678753497458289, 1761314094749782780, 
0.7556493866381124, -0.045983122386039944, 0.0670561044205836, 1761314094800135803, 
0.7500689833410449, -0.037505119266145893, 0.1132165863206716, 1761314094899790605, 
0.6733287811078495, -0.24928879140137938, 0.1529488005605107, 1761314095010707842, 
0.6533527023186447, -0.29719558344440267, 0.1460224212732958, 1761314095110729411, 
0.63847884014294, -0.12203959432800869, 0.12407182766527179, 1761314095200115026, 
0.6230143457417937, -0.10032326019615939, 0.13040391746724603, 1761314095315033974, 
0.6119036785261548, -0.08356347315021485, 0.1315125660408, 1761314095410715196, 
0.4770050772594523, -0.48380020172855964, 0.11224951838995381, 1761314095511741732, 
0.4510121036592528, -0.5433698893988121, 0.09711197012887157, 1761314095599904081, 
0.43763544752432804, -0.14253015753254808, 0.08600004369860093, 1761314095700662491, 
0.4338670634952746, -0.055666850095507404, 0.09293469648527027, 1761314095810717698, 
0.2919956271184898, -0.48420146583175505, 0.08147587340455344, 1761314095910742432, 
0.26094589171411986, -0.5669148973059434, 0.06907053616634111, 1761314096020699261, 
0.2362380903773843, -0.18550871601871619, 0.052633963384904094, 1761314096110826023, 
0.24168380042921567, -0.07321048600838619, 0.04680067888886082, 1761314096210722483, 
0.13075540439894473, -0.351487152008713, 0.040563131447802596, 1761314096310750343, 
0.11077667830369531, -0.43062525716500416, 0.033705992016871605, 1761314096419982939, 
0.08623029186483833, -0.15091941232789155, 0.02187192817016, 1761314096510943500, 
0.09162935151453211, -0.0719188146017977, 0.018353080214197428, 1761314096610739391, 
-0.0024879398801852526, -0.2985400347723421, 0.011626899298469596, 1761314096709839315, 
-0.006496097168785964, -0.3312964798518336, 0.00522999580407452, 1761314096800586662, 
-0.02610228883058452, -0.07456850937912614, -0.0023385200051865757, 1761314096909790716, 
-0.021788035686730156, -0.04546299006127824, -0.0037923799410208817, 1761314097009777476, 
-0.10938563140316282, -0.2776604736955772, -0.010483449867022815, 1761314097109759932, 
-0.11361614307902379, -0.30767550951780276, -0.015518963829470022, 1761314097199968773, 
-0.12700480502288325, -0.0562611846305801, -0.023340071152084873, 1761314097309813924, 
-0.12136252146720838, -0.0219939239069734, -0.02543194200168234, 1761314097410740348, 
-0.19634746030438832, -0.23361960765098355, -0.02964954249080921, 1761314097509826674, 
-0.20411201668775258, -0.28013510681059445, -0.03338227953902399, 1761314097602657973, 
-0.2154745913073839, -0.06320382218688798, -0.0410737397070087, 1761314097709882533, 
-0.20948839606685543, -0.01554072862005846, -0.043634962310354734, 1761314097810749037, 
-0.25758187634264196, -0.14202322751707258, -0.04549003507537063, 1761314097909825588, 
-0.2498202642082366, -0.13338188480952493, -0.045426641786492805, 1761314098000847690, 
-0.2559528748125825, 0.009683640760810115, -0.050916517434591045, 1761314098109928488, 
-0.24902347316739504, 0.004390761469169606, -0.05256857063923438, 1761314098209785713, 
-0.2684166539669779, -0.041168422791703095, -0.05166084072805073, 1761314098310321460, 
-0.26913405225956305, -0.06695427415058093, -0.04997647789956696, 1761314098400396386, 
-0.2755793759545351, -0.022211997638927648, -0.054189506398324705, 1761314098510250749, 
-0.2720270192126154, -0.007698483454425993, -0.05709199603012125, 1761314098610103140, 
-0.27922413457580386, -0.012123298407019504, -0.05509099775177146, 1761314098710138135, 
-0.2840785039855609, -0.03864633777081602, -0.05857861549134685, 1761314098820482174, 
-0.2883327975114458, -0.030462901103154378, -0.05680558076115308, 1761314098910243409, 
-0.2843737397971282, -0.002582867675874891, -0.0541541732290326, 1761314099010100937, 
-0.2827792374358452, 0.018533793476227304, -0.05697514614074468, 1761314099110042685, 
-0.28457590629544854, -0.00014316583374823313, -0.059508296097073816, 1761314099219703889, 
-0.2862427741833534, -0.011531125077273682, -0.05724775846571773, 1761314099311241952, 
-0.26577430628814847, 0.061770521958976664, -0.05357256320592795, 1761314099411813663, 
-0.26094576990551727, 0.08442501831073014, -0.0535525877348211, 1761314099508862007, 
-0.2557399499827603, 0.035638856446345034, -0.049065111325084745, 1761314099599932326, 
-0.251223980964953, 0.032741493591209, -0.05146275433948837, 1761314099709912030, 
-0.21663130416378623, 0.12726578085554854, -0.051014248211397176, 1761314099811435577, 
-0.20798854660226002, 0.14346839376146733, -0.0445849534998629, 1761314099907819970, 
-0.20147375214390162, 0.053186116476134256, -0.039569353410779946, 1761314100001036716, 
-0.19363241059785763, 0.04722135940021532, -0.04070186682735745, 1761314100110285020, 
-0.19373607607724863, 0.023577978468654472, -0.04098062282116856, 1761314100209822466, 
-0.15179278109256386, 0.1423441439884767, -0.035498176582950104, 1761314100307803900, 
-0.14359630691605046, 0.17217827497374474, -0.0310819274598268, 1761314100400460342, 
-0.14032254845952502, 0.040634504216015034, -0.02767470823019035, 1761314100498352230, 
-0.13935101396949967, 0.014045437869006546, -0.029578544737366097, 1761314100610103505, 
-0.11196626191367876, 0.09728818765572289, -0.02721358966320341, 1761314100706811033, 
-0.10634927799252672, 0.11445915081066262, -0.02265253256747232, 1761314100800106168, 
-0.10097768137462779, 0.036381606171941645, -0.021611678314837637, 1761314100909869008, 
-0.10170582021365332, 0.01388386480319895, -0.02160047861588944, 1761314101009797308, 
-0.10860692581147838, -0.02613392727302366, -0.020438246172380856, 1761314101106838568, 
-0.07899730225011925, 0.06282070792343208, -0.02035873652472748, 1761314101220907188, 
-0.07360754766337294, 0.10672324957215405, -0.01767703134261438, 1761314101309858106, 
-0.0756816083990361, 0.01328268421459614, -0.014376919483740098, 1761314101409839807, 
-0.07868374664127106, -0.01734096455246022, -0.014891389100939411, 1761314101505820726, 
-0.0776404435319246, -0.007383631076898804, -0.016262289847006547, 1761314101620122782, 
-0.07415116813678028, 0.017639358949484027, -0.014902782278229885, 1761314101699803923, 
-0.04626808611050802, 0.09909184491291419, -0.012522658452780987, 1761314101809802842, 
-0.04585777997272887, 0.08591930788982438, -0.011419066235248475, 1761314101905828759, 
-0.04725852075862755, -0.0035216886029582894, -0.008847591076667168, 1761314102000231439, 
-0.04555299848834254, 0.00023873489867614768, -0.009431979782226745, 1761314102109882140, 
-0.04060380040376994, 0.021687705668430684, -0.009322011669192597, 1761314102209847809, 
-0.03778794139427564, 0.025795397147279242, -0.00830326518081633, 1761314102310857151, 
-0.03512344446324217, 0.017434032597288495, -0.007949800790666562, 1761314102419946591, 
-0.02156948795941871, 0.05817220959535493, -0.006279637170647236, 1761314102510251068, 
-0.02292378542665376, 0.045496505457328716, -0.005038911818330341, 1761314102609815451, 
-0.016978835528408828, 0.016102733441009785, -0.004007764279281979, 1761314102705840467, 
-0.01644003396261588, 0.02244566759832198, -0.0036681785194228817, 1761314102805129917, 
-0.014241664812140866, 0.008549402518680898, -0.003304514200078819, 1761314102913843645, 
-0.01110828363844164, 0.01809609729170564, -0.0027956338005217986, 1761314103005821588, 
-0.011842971114503147, 0.00893150717569913, -0.0023928147990361277, 1761314103106849316, 
-0.0011492925536795498, 0.03020041816562617, -0.0016893523897814752, 1761314103216109641, 
-0.0030553657015599464, 0.026335187283557358, -0.0011248463309816918, 1761314103317132026, 
-0.003881463589156437, -0.009259959113008191, -0.0005221394694006438, 1761314103409826535, 
-0.0031272423191677744, -0.0004873303922061035, -0.0006505801510306305, 1761314103511063521, 
-0.002755678372296743, 0.003677434196890341, -0.0006671050872686353, 1761314103614787258, 
-0.004787053158433238, -0.00549992280683264, -0.0007286798008893099, 1761314103715941193, 
-0.005663069645820459, -0.009942401730442994, -0.0008409723587571321, 1761314103805833378, 
-0.006539702262614088, -0.006028502136785223, -0.001104338804907932, 1761314103910941224, 
-0.008687615677452524, -0.010724470970561714, -0.0013594836136575225, 1761314104001064358, 
-0.004361453086221614, 0.005186072704792685, -0.001305581291738141, 1761314104110889647, 
-0.005169141913391878, 0.010436787503320956, -0.0012739083269392092, 1761314104210839349, 
-0.007208704704640141, -0.009490867171838254, -0.001115781546082877, 1761314104310858863, 
-0.007836756464869962, -0.009137026820753172, -0.0012768407077150626, 1761314104400332168, 
-0.00640426976634741, 0.001977457648292631, -0.0014305156244475304, 1761314104510933488, 
-0.007350123633887144, 0.001129701057143129, -0.0015078687476081567, 1761314104609844226, 
-0.007181268860657033, -0.0026305449431655668, -0.0013954096020627168, 1761314104710890325, 
-0.007483271289390719, -0.00036582689618599795, -0.0015419763976177196, 1761314104819973676, 
-0.006242530325823399, 0.0036252789543389356, -0.0013939269071873651, 1761314104910907861, 
-0.005652890273417612, 0.006534657266404735, -0.0012265027763391845, 1761314105009847603, 
-0.004431329608725193, 0.006017119732327787, -0.0010882533744849088, 1761314105110871729, 
-0.004811029153335852, 0.0026523957313860564, -0.0009575615453528373, 1761314105202706724, 
-0.0035953995950373137, 0.0023987752290500854, -0.0008520820973629561, 1761314105309991094, 
